city,lat,lng,max_temp,humidity,windspeed,cloudiness,country,date
buala,-8.14,159.59,80.62,79,6.53,94,SB,1592408068
huanren,41.26,125.37,58.41,77,1.66,100,CN,1592408197
ostrovnoy,68.05,39.51,44.28,69,7.25,71,RU,1592408197
valparaiso,-33.04,-71.63,51.8,100,9.17,90,CL,1592408197
belaya rechka,43.44,43.53,75.2,60,8.95,90,RU,1592408197
hofn,64.25,-15.21,49.91,64,7.61,0,IS,1592408197
diego de almagro,-26.37,-70.05,62.22,33,3.89,18,CL,1592408197
batagay-alyta,67.8,130.41,57.88,56,4.14,40,RU,1592408198
kabanjahe,3.1,98.49,80.6,83,2.24,40,ID,1592408198
thinadhoo,0.53,72.93,84.79,75,6.49,79,MV,1592408198
sistranda,63.73,8.83,66.2,77,12.75,20,NO,1592408199
lodja,-3.48,23.43,81.12,35,0.76,53,CD,1592408199
simbahan,6.3,120.58,84.78,71,7.49,92,PH,1592408200
cozumel,20.51,-86.95,82.0,78,6.93,75,MX,1592408200
segamat,2.51,102.82,78.8,88,2.24,20,MY,1592408200
hami,42.8,93.45,88.68,12,5.82,99,CN,1592408200
ponta delgada,37.73,-25.67,66.2,82,18.34,40,PT,1592408200
marquette,46.53,-87.63,77.0,47,9.17,5,US,1592408200
palauig,15.44,119.9,82.65,74,1.95,100,PH,1592408200
smithers,54.78,-127.17,46.4,87,3.36,75,CA,1592407960
methala,10.22,76.22,78.8,94,6.93,90,IN,1592408201
adelaide,-34.93,138.6,55.99,66,10.29,6,AU,1592408070
dongkan,34.0,119.83,68.22,96,10.38,100,CN,1592408202
norman wells,65.28,-126.83,64.4,68,9.17,40,CA,1592408202
denpasar,-8.65,115.22,82.4,100,12.75,40,ID,1592408115
siocon,7.71,122.14,80.29,81,2.64,100,PH,1592408202
kulhudhuffushi,6.62,73.07,84.51,80,15.08,100,MV,1592408203
hasaki,35.73,140.83,66.2,88,2.24,53,JP,1592408203
wanning,18.8,110.4,80.67,84,9.98,0,CN,1592408203
mehamn,71.04,27.85,48.2,66,8.05,28,NO,1592408203
chita,52.03,113.55,62.6,51,2.24,13,RU,1592407929
harper,4.38,-7.72,79.39,83,13.82,98,LR,1592408203
shitanjing,39.23,106.34,70.0,35,5.01,35,CN,1592408203
blankenberge,51.31,3.13,61.0,87,4.7,20,BE,1592408204
kaffrine,14.11,-15.55,104.59,23,7.49,60,SN,1592408204
yalkhoy-mokhk,43.11,46.19,80.6,42,13.42,75,RU,1592408204
